Date,Open,High,Low,Close
9/25/2020,0.12%,0.14%,0.11%,0.12%
9/28/2020,0.12%,0.14%,0.11%,0.12%
9/29/2020,0.13%,0.13%,0.11%,0.11%
9/30/2020,0.11%,0.15%,0.11%,0.13%
10/1/2020,0.14%,0.14%,0.10%,0.12%
10/2/2020,0.11%,0.14%,0.11%,0.12%
10/5/2020,0.13%,0.14%,0.11%,0.13%
10/6/2020,0.12%,0.15%,0.12%,0.13%
10/7/2020,0.13%,0.16%,0.12%,0.14%
10/8/2020,0.14%,0.15%,0.11%,0.13%
10/9/2020,0.13%,0.15%,0.11%,0.14%
10/11/2020,0.15%,0.15%,0.13%,0.14%
10/13/2020,0.14%,0.16%,0.13%,0.14%
10/14/2020,0.14%,0.15%,0.12%,0.13%
10/15/2020,0.14%,0.14%,0.12%,0.13%
10/16/2020,0.13%,0.14%,0.12%,0.13%
10/19/2020,0.13%,0.14%,0.12%,0.13%
10/20/2020,0.13%,0.15%,0.12%,0.13%
10/21/2020,0.13%,0.15%,0.12%,0.13%
10/22/2020,0.13%,0.15%,0.12%,0.13%
10/23/2020,0.13%,0.15%,0.12%,0.14%
10/26/2020,0.14%,0.14%,0.12%,0.13%
10/27/2020,0.13%,0.14%,0.12%,0.13%
10/28/2020,0.13%,0.13%,0.12%,0.12%
10/29/2020,0.12%,0.14%,0.12%,0.12%
10/30/2020,0.12%,0.14%,0.12%,0.13%
11/2/2020,0.13%,0.15%,0.12%,0.12%
11/3/2020,0.12%,0.13%,0.12%,0.12%
11/4/2020,0.12%,0.20%,0.11%,0.13%
11/5/2020,0.13%,0.14%,0.11%,0.12%
11/6/2020,0.12%,0.14%,0.11%,0.13%
11/9/2020,0.13%,0.15%,0.12%,0.13%
11/10/2020,0.13%,0.14%,0.12%,0.13%
11/12/2020,0.13%,0.14%,0.10%,0.12%
11/13/2020,0.12%,0.14%,0.11%,0.12%
11/16/2020,0.12%,0.14%,0.12%,0.12%
11/17/2020,0.12%,0.13%,0.11%,0.12%
11/18/2020,0.12%,0.13%,0.11%,0.12%
11/19/2020,0.12%,0.13%,0.10%,0.11%
11/20/2020,0.11%,0.12%,0.10%,0.11%
11/23/2020,0.11%,0.12%,0.10%,0.11%
11/24/2020,0.11%,0.12%,0.10%,0.11%
11/25/2020,0.11%,0.12%,0.10%,0.11%
11/27/2020,0.11%,0.12%,0.09%,0.09%
11/30/2020,0.09%,0.12%,0.09%,0.11%
12/1/2020,0.11%,0.12%,0.10%,0.11%
12/2/2020,0.11%,0.13%,0.10%,0.12%
12/3/2020,0.12%,0.12%,0.10%,0.11%
12/4/2020,0.11%,0.12%,0.10%,0.10%
12/7/2020,0.10%,0.12%,0.10%,0.10%
12/8/2020,0.10%,0.12%,0.10%,0.11%
12/9/2020,0.11%,0.12%,0.09%,0.10%
12/10/2020,0.10%,0.12%,0.09%,0.10%
12/11/2020,0.10%,0.10%,0.09%,0.09%
12/14/2020,0.09%,0.10%,0.09%,0.09%
12/15/2020,0.09%,0.10%,0.08%,0.09%
12/16/2020,0.09%,0.11%,0.08%,0.09%
12/17/2020,0.09%,0.11%,0.08%,0.09%
12/18/2020,0.09%,0.11%,0.08%,0.10%
12/21/2020,0.10%,0.10%,0.06%,0.09%
12/22/2020,0.09%,0.10%,0.09%,0.09%
12/23/2020,0.09%,0.10%,0.09%,0.09%
12/24/2020,0.09%,0.10%,0.09%,0.10%
12/28/2020,0.10%,0.12%,0.09%,0.11%
12/29/2020,0.11%,0.13%,0.10%,0.11%
12/30/2020,0.11%,0.13%,0.09%,0.10%
12/31/2020,0.10%,0.12%,0.08%,0.10%
1/4/2021,0.11%,0.12%,0.01%,0.11%
1/5/2021,0.11%,0.11%,0.01%,0.10%
1/6/2021,0.10%,0.13%,0.09%,0.11%
1/7/2021,0.11%,0.13%,0.09%,0.11%
1/8/2021,0.11%,0.13%,0.01%,0.11%
1/11/2021,0.11%,0.12%,0.07%,0.10%
1/12/2021,0.10%,0.12%,0.10%,0.11%
1/13/2021,0.11%,0.12%,0.10%,0.10%
1/14/2021,0.10%,0.11%,0.10%,0.10%
1/15/2021,0.10%,0.11%,0.10%,0.11%
1/17/2021,0.11%,0.11%,0.10%,0.11%
1/19/2021,0.10%,0.12%,0.10%,0.10%
1/20/2021,0.10%,0.11%,0.05%,0.10%
1/21/2021,0.10%,0.11%,0.09%,0.10%
1/22/2021,0.10%,0.11%,0.09%,0.10%
1/25/2021,0.10%,0.11%,0.04%,0.10%
1/26/2021,0.10%,0.12%,0.09%,0.10%
1/27/2021,0.10%,0.10%,0.08%,0.09%
1/28/2021,0.09%,0.10%,0.08%,0.09%
1/29/2021,0.09%,0.11%,0.08%,0.09%
2/1/2021,0.09%,0.09%,0.08%,0.09%
2/2/2021,0.09%,0.09%,0.07%,0.08%
2/3/2021,0.08%,0.09%,0.07%,0.08%
2/4/2021,0.08%,0.09%,0.07%,0.07%
2/5/2021,0.07%,0.08%,0.06%,0.07%
